operacao;tempo
criacao;0.0000150
criacao;0.0000110
criacao;0.0000130
criacao;0.0000160
criacao;0.0000120
criacao;0.0000100
criacao;0.0000090
criacao;0.0000100
criacao;0.0000110
criacao;0.0000100
criacao;0.0000100
criacao;0.0000110
criacao;0.0000110
criacao;0.0000100
criacao;0.0000100
criacao;0.0000100
criacao;0.0000100
criacao;0.0000100
criacao;0.0000100
criacao;0.0000090
criacao;0.0000100
criacao;0.0000110
criacao;0.0000100
criacao;0.0000100
criacao;0.0000100
criacao;0.0000100
criacao;0.0000100
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000100
criacao;0.0000100
criacao;0.0000190
criacao;0.0000110
criacao;0.0000100
criacao;0.0000100
criacao;0.0000100
criacao;0.0000100
criacao;0.0000110
criacao;0.0000100
criacao;0.0000110
criacao;0.0000120
criacao;0.0000110
criacao;0.0000100
criacao;0.0000100
criacao;0.0000100
criacao;0.0000100
criacao;0.0000110
criacao;0.0000110
criacao;0.0000100
criacao;0.0000100
criacao;0.0000100
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000100
criacao;0.0000110
criacao;0.0000100
criacao;0.0000100
criacao;0.0000100
criacao;0.0000110
criacao;0.0000100
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000100
criacao;0.0000100
criacao;0.0000110
criacao;0.0000110
criacao;0.0000100
criacao;0.0000110
criacao;0.0000150
criacao;0.0000190
criacao;0.0000180
criacao;0.0000110
criacao;0.0000110
criacao;0.0000100
criacao;0.0000110
criacao;0.0000110
criacao;0.0000100
criacao;0.0000100
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000100
criacao;0.0000100
criacao;0.0000120
criacao;0.0000100
criacao;0.0000100
criacao;0.0000110
criacao;0.0000100
criacao;0.0000110
criacao;0.0000110
criacao;0.0000100
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000110
criacao;0.0000120
leitura;0.0389790
leitura;0.0385860
leitura;0.0376500
leitura;0.0378140
leitura;0.0375370
leitura;0.0372720
leitura;0.0372210
leitura;0.0371320
leitura;0.0372040
leitura;0.0370910
leitura;0.0370540
leitura;0.0376680
leitura;0.0380220
leitura;0.0388860
leitura;0.0383280
leitura;0.0380940
leitura;0.0421830
leitura;0.0414390
leitura;0.0423300
leitura;0.0500070
leitura;0.0431840
leitura;0.0375010
leitura;0.0374080
leitura;0.0380620
leitura;0.0388470
leitura;0.0392750
leitura;0.0372480
leitura;0.0378020
leitura;0.0378680
leitura;0.0381660
leitura;0.0377680
leitura;0.0372520
leitura;0.0372670
leitura;0.0379950
leitura;0.0368110
leitura;0.0367680
leitura;0.0373650
leitura;0.0367560
leitura;0.0368310
leitura;0.0367460
leitura;0.0368850
leitura;0.0367840
leitura;0.0368280
leitura;0.0375180
leitura;0.0368880
leitura;0.0369010
leitura;0.0367800
leitura;0.0368230
leitura;0.0368670
leitura;0.0375590
leitura;0.0385210
leitura;0.0394150
leitura;0.0388370
leitura;0.0398420
leitura;0.0401640
leitura;0.0394980
leitura;0.0402350
leitura;0.0396150
leitura;0.0392370
leitura;0.0388220
leitura;0.0389410
leitura;0.0399950
leitura;0.0402050
leitura;0.0402270
leitura;0.0394660
leitura;0.0398940
leitura;0.0392510
leitura;0.0397710
leitura;0.0391220
leitura;0.0392840
leitura;0.0377650
leitura;0.0376590
leitura;0.0376290
leitura;0.0377560
leitura;0.0376610
leitura;0.0376320
leitura;0.0377120
leitura;0.0376930
leitura;0.0375530
leitura;0.0376790
leitura;0.0377150
leitura;0.0376580
leitura;0.0377810
leitura;0.0377270
leitura;0.0377810
leitura;0.0402090
leitura;0.0377000
leitura;0.0377090
leitura;0.0378080
leitura;0.0376190
leitura;0.0375980
leitura;0.0380520
leitura;0.0389550
leitura;0.0391070
leitura;0.0389530
leitura;0.0390120
leitura;0.0392350
leitura;0.0387950
leitura;0.0388650
leitura;0.0390760
