operacao;tempo
criacao;0.0001140
criacao;0.0000490
criacao;0.0000600
criacao;0.0000630
criacao;0.0000530
criacao;0.0000460
criacao;0.0000400
criacao;0.0000400
criacao;0.0000420
criacao;0.0000410
criacao;0.0000390
criacao;0.0000380
criacao;0.0000380
criacao;0.0000390
criacao;0.0000390
criacao;0.0000390
criacao;0.0000390
criacao;0.0000390
criacao;0.0000470
criacao;0.0000630
criacao;0.0000550
criacao;0.0000450
criacao;0.0000390
criacao;0.0000440
criacao;0.0000380
criacao;0.0000390
criacao;0.0000390
criacao;0.0000410
criacao;0.0000390
criacao;0.0000380
criacao;0.0000870
criacao;0.0000540
criacao;0.0000400
criacao;0.0000390
criacao;0.0000400
criacao;0.0000400
criacao;0.0000390
criacao;0.0000430
criacao;0.0000450
criacao;0.0000390
criacao;0.0000400
criacao;0.0000400
criacao;0.0000400
criacao;0.0000390
criacao;0.0000410
criacao;0.0000390
criacao;0.0000400
criacao;0.0000390
criacao;0.0000410
criacao;0.0000410
criacao;0.0000400
criacao;0.0000390
criacao;0.0000390
criacao;0.0000490
criacao;0.0000410
criacao;0.0000400
criacao;0.0000400
criacao;0.0000390
criacao;0.0000400
criacao;0.0000400
criacao;0.0000410
criacao;0.0000400
criacao;0.0000120
criacao;0.0000130
criacao;0.0000120
criacao;0.0000130
criacao;0.0000120
criacao;0.0000130
criacao;0.0000140
criacao;0.0000140
criacao;0.0000120
criacao;0.0000130
criacao;0.0000120
criacao;0.0000120
criacao;0.0000140
criacao;0.0000130
criacao;0.0000130
criacao;0.0000130
criacao;0.0000130
criacao;0.0000130
criacao;0.0000120
criacao;0.0000130
criacao;0.0000120
criacao;0.0000150
criacao;0.0000130
criacao;0.0000140
criacao;0.0000130
criacao;0.0000120
criacao;0.0000130
criacao;0.0000120
criacao;0.0000130
criacao;0.0000120
criacao;0.0000130
criacao;0.0000130
criacao;0.0000130
criacao;0.0000130
criacao;0.0000130
criacao;0.0000130
criacao;0.0000140
criacao;0.0000140
leitura;0.0000180
leitura;0.0000090
leitura;0.0000110
leitura;0.0000120
leitura;0.0000130
leitura;0.0000100
leitura;0.0000090
leitura;0.0000080
leitura;0.0000080
leitura;0.0000080
leitura;0.0000080
leitura;0.0000080
leitura;0.0000090
leitura;0.0000100
leitura;0.0000080
leitura;0.0000080
leitura;0.0000090
leitura;0.0000090
leitura;0.0000080
leitura;0.0000090
leitura;0.0000080
leitura;0.0000080
leitura;0.0000080
leitura;0.0000080
leitura;0.0000080
leitura;0.0000080
leitura;0.0000080
leitura;0.0000080
leitura;0.0000090
leitura;0.0000080
leitura;0.0000090
leitura;0.0000080
leitura;0.0000070
leitura;0.0000080
leitura;0.0000070
leitura;0.0000080
leitura;0.0000080
leitura;0.0000070
leitura;0.0000070
leitura;0.0000070
leitura;0.0000070
leitura;0.0000080
leitura;0.0000080
leitura;0.0000090
leitura;0.0000070
leitura;0.0000080
leitura;0.0000080
