operacao;tempo
criacao;0.0000350
criacao;0.0000310
criacao;0.0000290
criacao;0.0000300
criacao;0.0000290
criacao;0.0000300
criacao;0.0000310
criacao;0.0000290
criacao;0.0000280
criacao;0.0000280
leitura;0.0000230
leitura;0.0000200
leitura;0.0000180
leitura;0.0000160
leitura;0.0000170
leitura;0.0000160
leitura;0.0000170
leitura;0.0000170
leitura;0.0000180
leitura;0.0000190
remocao;0.0000260
remocao;0.0000200
remocao;0.0000220
remocao;0.0000210
remocao;0.0000370
remocao;0.0000150
remocao;0.0000160
remocao;0.0000160
remocao;0.0000170
remocao;0.0000180
