operacao;tempo
criacao;0.0000440
criacao;0.0000480
criacao;0.0000360
criacao;0.0000310
criacao;0.0000300
criacao;0.0000290
criacao;0.0000290
criacao;0.0000410
criacao;0.0000290
criacao;0.0000290
leitura;0.0081410
leitura;0.0069250
leitura;0.0046960
leitura;0.0041210
leitura;0.0038300
leitura;0.0039430
leitura;0.0039010
leitura;0.0038520
leitura;0.0040310
leitura;0.0037850
remocao;0.0006370
remocao;0.0006260
remocao;0.0006120
remocao;0.0006390
remocao;0.0005900
remocao;0.0005940
remocao;0.0006000
remocao;0.0005900
remocao;0.0005840
remocao;0.0005660
