operacao;tempo
criacao;0.0005140
criacao;0.0005790
criacao;0.0005550
criacao;0.0005730
criacao;0.0005160
criacao;0.0003900
criacao;0.0003870
criacao;0.0004110
criacao;0.0003930
criacao;0.0003770
leitura;0.0001330
leitura;0.0001180
leitura;0.0001100
leitura;0.0001200
leitura;0.0001220
leitura;0.0001200
leitura;0.0001230
leitura;0.0001190
leitura;0.0001220
leitura;0.0000890
remocao;0.0001110
remocao;0.0001010
remocao;0.0000960
remocao;0.0000970
remocao;0.0000960
remocao;0.0001110
remocao;0.0001140
remocao;0.0000970
remocao;0.0000900
remocao;0.0001010
