operacao;tempo
criacao;0.0074540
criacao;0.0073460
criacao;0.0069850
criacao;0.0069070
criacao;0.0070190
criacao;0.0069280
criacao;0.0068940
criacao;0.0069050
criacao;0.0068430
criacao;0.0068670
leitura;0.0030580
leitura;0.0028710
leitura;0.0027940
leitura;0.0029990
leitura;0.0028280
leitura;0.0031140
leitura;0.0029880
leitura;0.0028040
leitura;0.0028940
leitura;0.0028110
remocao;0.0026220
remocao;0.0025350
remocao;0.0024990
remocao;0.0024620
remocao;0.0024570
remocao;0.0032300
remocao;0.0025980
remocao;0.0024370
remocao;0.0024280
remocao;0.0024110
