operacao;tempo
criacao;0.0001680
criacao;0.0001530
criacao;0.0001580
criacao;0.0002010
criacao;0.0001380
criacao;0.0002190
criacao;0.0001180
criacao;0.0001020
criacao;0.0000960
criacao;0.0001020
leitura;0.0001960
leitura;0.0001930
leitura;0.0001990
leitura;0.0001860
leitura;0.0001730
leitura;0.0001900
leitura;0.0001910
leitura;0.0001900
leitura;0.0001850
leitura;0.0002130
remocao;0.0000610
remocao;0.0000540
remocao;0.0000570
remocao;0.0000430
remocao;0.0000480
remocao;0.0000410
remocao;0.0000440
remocao;0.0000510
remocao;0.0000470
remocao;0.0000500
