operacao;tempo
criacao;0.0000700
criacao;0.0000640
criacao;0.0000910
criacao;0.0000610
criacao;0.0000750
criacao;0.0000580
criacao;0.0000520
criacao;0.0000690
criacao;0.0000650
criacao;0.0000660
leitura;0.0410930
leitura;0.0366900
leitura;0.0406190
leitura;0.0439550
leitura;0.0419900
leitura;0.0436240
leitura;0.0394690
leitura;0.0362980
leitura;0.0364280
leitura;0.0362400
remocao;0.0054330
remocao;0.0048770
remocao;0.0049260
remocao;0.0048040
remocao;0.0048280
remocao;0.0050790
remocao;0.0048250
remocao;0.0047530
remocao;0.0047600
remocao;0.0047850
