operacao;tempo
criacao;0.0000370
criacao;0.0000270
criacao;0.0000310
criacao;0.0000260
criacao;0.0000270
criacao;0.0000260
criacao;0.0000240
criacao;0.0000260
criacao;0.0000290
criacao;0.0000270
leitura;0.0000970
leitura;0.0000930
leitura;0.0000860
leitura;0.0001260
leitura;0.0000970
leitura;0.0000870
leitura;0.0001000
leitura;0.0000950
leitura;0.0001060
leitura;0.0000980
remocao;0.0000460
remocao;0.0000270
remocao;0.0000260
remocao;0.0000270
remocao;0.0000250
remocao;0.0000240
remocao;0.0000250
remocao;0.0000250
remocao;0.0000260
remocao;0.0000340
