operacao;tempo
criacao;0.0000270
criacao;0.0000210
criacao;0.0000190
criacao;0.0000180
criacao;0.0000190
criacao;0.0000200
criacao;0.0000190
criacao;0.0000190
criacao;0.0000190
criacao;0.0000190
leitura;0.1968620
leitura;0.1874490
leitura;0.1877080
leitura;0.1912940
leitura;0.1873170
leitura;0.1872430
leitura;0.1874990
leitura;0.1912410
leitura;0.1872940
leitura;0.1870330
remocao;0.0252190
remocao;0.0241160
remocao;0.0238760
remocao;0.0235130
remocao;0.0235320
remocao;0.0294450
remocao;0.0233160
remocao;0.0233840
remocao;0.0232200
remocao;0.0233850
