operacao;tempo
criacao;0.0000630
criacao;0.0000660
criacao;0.0000560
criacao;0.0000620
criacao;0.0000680
criacao;0.0000690
criacao;0.0000750
criacao;0.0000610
criacao;0.0000850
criacao;0.0000610
leitura;0.1950120
leitura;0.1973040
leitura;0.1857210
leitura;0.1807620
leitura;0.1927020
leitura;0.1874300
leitura;0.1994730
leitura;0.1890440
leitura;0.1875240
leitura;0.1816020
remocao;0.0246680
remocao;0.0243000
remocao;0.0237630
remocao;0.0235740
remocao;0.0238290
remocao;0.0244570
remocao;0.0233420
remocao;0.0233110
remocao;0.0233120
remocao;0.0244540
