operacao;tempo
criacao;0.0005280
criacao;0.0004950
criacao;0.0003800
criacao;0.0003990
criacao;0.0004110
criacao;0.0003620
criacao;0.0003680
criacao;0.0005020
criacao;0.0004410
criacao;0.0004820
leitura;0.0003320
leitura;0.0002270
leitura;0.0002130
leitura;0.0002080
leitura;0.0002660
leitura;0.0001970
leitura;0.0001490
leitura;0.0002000
leitura;0.0001760
leitura;0.0001530
remocao;0.0001100
remocao;0.0001140
remocao;0.0000980
remocao;0.0001050
remocao;0.0000940
remocao;0.0000800
remocao;0.0000940
remocao;0.0000890
remocao;0.0000870
remocao;0.0000830
